"MTICD","MTICD_NAME","MTICD_ENG_NAME","MTICD_DC","MTICD_ENG_DC"
"124000","석회석","limestone"," 금속광물, 백운석, 석회석, 응결백운석 "," limestone, dolomite "
"013900","기타식물성물질","matter other vegetable"," 감귤류껍질, 기타식물성물질, 배소전분, 아밀로겐, 덱스트린, 전분질, 소르비톨, 멜론껍질 "," dextrin, starch, amylogen, sorbitol "
"014100","빵제조용재료","material of bakery"," 보릿가루, 쌀가루, 황련 ","riceflour, barleyflour "
"014200","효모류","yeast"," 누룩, 배양효모, 베이킹효모, 이스트, 양조효모, 제빵효모, 증류효모, 효모류, 효모 "," yeast "
"014310","소스류 간장","sauces soy sauce"," 간장, 기타조제식료품, 양조간장, 조선간장, 국간장 "," soysauces, soysauce, soyasauce, soyasauces "
"043400","굴","oyster"," 굴, 석화, 갓굴, 떡굴, 벚굴, 바위굴 "," oyster "
"043510","피조개 조개","shellfish/clam arkshell"," 패류, 조개, 피조개, 꼬막 "," redshell, arkshell "
"043590","조개 기타조개","other shellfish/clam shell"," 패류, 개량조개, 개조개, 바지락, 백합, 새조개, 재첩, 전복, 조개, 홍합 "," clam, corbicula, abalone, cockie,  mussel, saxidomus purpurata "
"046290","기타염장수산물 염장수산물","products inbrine other or salted fishery"," 명란젓, 오징어젓, 낙지젓, 멸치젓, 멸치액젓, 액젓, 염장수산물, 청어젓갈, 젓갈 "," anchovy, saltedseafood, salted seafood "
"043900","기타연체동물","other molluscs"," 개아지살, 달팽이, 골뱅이 "," escargot, whelk "
"044100","김","laver"," 김, 곱창김, 돌김 "," seaweed, laver, stonelaver "
"044200","톳","seaweed fusiforme"," 톳 "," seaweed fusiforme "
"044300","미역","seamustard"," 미역, 물미역 "," seaweed, seamustard "
"044400","한천","agar"," 한천 "," agar "
"044900","기타해조류","other seaweed"," 기타해조류, 다시마, 해초류, 청각 "," seaweed, kelp, seastaghorn "
"046900","기타수산가공품","products other processed fishery"," 게맛살, 조미김, 고등어구이, 김자반, 꾸어랑, 건조오징어, 반건조오징어, 붉은대게살, 생선소시지, 조미오징어, 쥐치포, 캐비아, 오뎅, 어묵, 쥐포, 노가리, 재래김, 조미김가루, 해초샐러드, 김밥김 "," fishsausage, crabstick, driedfilefish, driedsquid, driedlittlepollack, seaweedflake, fishcake "
"045210","명란 어란","roe of alaska pollack"," 명란, 어란 "," pollackroe, pollack roe "
"045290","기타어란 어란","roe other"," 기타어란, 어란, 곤이, 이리 "," fishmilt, milt "
"046110","수산물통조림 어류통조림","can fish product fishery"," 꽁치통조림, 단짠단짠구이고등어, 단짠단짠구이민물장어, 단짠단짠구이삼치, 수산물통조림, 어류통조림, 전갱이통조림, 고등어통조림, 참치통조림 "," fishcan, salmoncan, tunacan, pacificsaurycan "
"046190","수산물통조림 기타수산물통조림","can other product fishery"," 기타수산물통조림, 골뱅이통조림, 꼬막통조림, 해파리통조림, 소라통조림, 홍합통조림 "," whelkcan, cockiecan "
"046210","새우젓 염장수산물","products inbrine or salted shrimp fishery"," 새우염장수산물, 새우젓, 새우젓갈 "," salted shrimp, pickledshrimp, saltedshrimp "
"046220","염장어란 염장수산물","products inbrine or salted roe fishery"," 명란젓, 오징어젓, 낙지젓, 멸치젓, 멸치액젓, 액젓, 염장수산물, 청어젓갈, 젓갈 "," anchovy, saltedseafood, salted seafood "
"119000","기타금속광물","ore Other metal othermetalores"," 게르마늄광, 구리, 금속광물, 금홍석, 기타금속광물, 납광, 니오븀광, 바나듐광, 배소, 수은광, 지르코늄광, 천연광물, 코발트광, 크로뮴광, 탄탈륨광, 토륨광, 황화비소, 회중석, 흑중석 "," naturalarsenicsulfides, manganeseores, cobaltores, chromiumores, wolframite, scheelite, thoriumores, roasted, rutile, anatase, zirconiumores, niobiumores, tantalumores, vanadiumores, antimonyores, mercuryores, germaniumores, berylliumores, dross "
"015420","연초류 제조담배","tabacco/preparation preparation tobacco tabacco/tobacco"," 담배, 연초류, 제조담배, 필터담배, 전자담배 "," tabacco, cheroot, cigarette "
"015500","인삼류","ginseng"," 본삼, 본삼인삼차, 산양삼, 인삼, 인삼류, 홍삼, 산삼 "," ginseng, wholeginseng, wildginseng, redginseng "
"015710","주류 소주","liquor alcoholic soju"," 소주, 주류, 술, 증류주, 한라산소주, 청하, 참이슬, 처음처럼 "," soju liquor, alcoholicbeverage, alcoholic "
"015720","주류 맥주","liquor alcoholic beer"," 맥주, 비어, 술, 카스, 테라, 하이트, 하이네켄 "," beer liquor, alcoholicbeverage, alcoholic "
"015730","주류 인삼주","wine liquor alcoholic ginseng"," 술, 약주, 담금주, 인삼주 "," ginseng liquor, alcoholicbeverage, alcoholic "
"015740","주류 포도주","wine liquor alcoholic"," 술, 와인, 포도주, 화이트와인, 모스카토 "," wine liquor, alcoholicbeverage, alcoholic "
"015750","주류 위스키","whisky liquor alcoholic"," 스카시, 위스키, 술 "," whisky liquor, alcoholicbeverage, alcoholic "
"015760","주류 브랜디","brandy liquor alcoholic"," 브랜디주류, 술 "," brandy liquor, alcoholicbeverage, alcoholic "
"211060","기초유분 자일렌","mixedxylene petrochemical basic"," 기초유분, 자일렌, 크실렌, 크실롤, 혼합크실렌이성체 "," xylene, mixedxylene, xylol "
"211090","기타기초유분 기초유분","petrochemical other basic"," 부타디엔, 부틸렌, 에틸렌, 옥텐, 이소프렌, 프로필렌, 프로필렌, 헥산, 헥센, 헵탄 "," other butadiene, propylene, ethylene, butylene, butane, hexane, heptane, isoprene, octene "
"212010","오토크실렌 석유화학중간원료","material Oxylene middle petrochemistry"," 석유화학중간원료, 오르토, 크실렌 "," oxylene "
"212020","석유화학중간원료 파라크실렌","material Pxylene middle petrochemistry"," 석유화학중간원료, 파라크실렌 "," pxylene "
"212030","석유화학중간원료 스틸렌","material styrene middle petrochemistry"," 석유화학중간원료, 스티렌, 스틸렌 "," styrene "
"212040","이염화에탄 석유화학중간원료","material dichloroethane middle petrochemistry"," 석유화학중간원료, 이염화에틸렌, 이염화에탄 "," ethylene dichloride "
"212050","석유화학중간원료 염화비닐모노마","material middle chloroethylene petrochemistry"," 석유화학중간원료, 염화비닐, 염화비닐모노마, 염화에틸렌 "," vinyl chloride "
"212060","석유화학중간원료 프로필렌옥사이드","material propyleneoxide middle petrochemistry"," 메틸옥시란, 석유화학중간원료, 프로필렌옥사이드 "," methyloxirane, propyleneoxide "
"212070","석유화학중간원료 초산비닐","material middle vinylacetate petrochemistry"," 석유화학중간원료, 초산비닐 "," vinyl acetate "
"212080","석유화학중간원료 메타아크릴산메틸","material methylmethacrylate middle petrochemistry"," 메타아크릴산메틸, 석유화학중간원료 "," methyl methacrylate "
"212090","석유화학중간원료 기타석유화학중간원료","material other middle petrochemistry"," 기타석유화학중간원료, 메타크실렌, 시클로헥산, 에틸렌옥사이드, 에틸벤젠, 옥시란 "," cyclohexane, petrochemistry, ethylbenzene, ethyleneoxide, oxirane "
"213010","에틸렌글리콜 석유화학합성원료","synthetic material ethyleneglycol fiber lower"," 에틸렌글리콜, 에탄디올, 디에틸렌글리콜, 트리에틸렌글리콜, 옥시디에탄올, 디골 "," ethylene glycol, ethanediol, diethyleneglycol, digol, triethyleneglycol "
"213020","석유화학합성원료 텔레프탈산","terephthalicacid synthetic material fiber lower"," 석유화학합성원료, 테레프탈산, 텔레프탈산 "," terephthalicacid "
"213030","석유화학합성원료 텔레프탈산디메틸","synthetic material dimethylterephthalate fiber lower"," 석유화학합성원료, 테레프탈산디메틸 "," terephthalatedimethyl "
"213040","아크릴로니트닐 석유화학합성원료","synthetic material acrylonitrile fiber lower"," 석유화학합성원료, 아크릴로니트닐 "," acrylonitrile "
"213050","카프로락탐 석유화학합성원료","synthetic material fiber lower caprolactam"," 석유화학합성원료, 카프로락탐, 에프시론카프로락탐, 6헥산락탐 "," caprolactam "
"214001","저밀도에틸렌 합성수지","synthetic resin ethylene density low"," 저밀도에틸렌, 에틸렌초산비닐공중합체, 선형저밀도폴리에틸렌 "," linear low density polyethylene, ethylene vinyl acetate "
"214002","합성수지 고밀도에틸렌","synthetic resin ethylene high density"," 합성수지, 고밀도에틸렌, 폴리에틸렌 "," polyethylene, synthetic resins "
"214003","폴리스티렌 합성수지 발포성","synthetic ethylene-vinylacetate resin"," 발포성합성수지, 발포성폴리스티렌, 합성수지 "," polystyren, expansible synthetic resins "
"214004","합성수지 폴리프로필렌","synthetic polypropylene resin"," 폴리프로필렌, 합성수지 "," polypropylene, synthetic resins "
"214005","폴리스티렌 합성수지","synthetic resin polystyrene"," 폴리스티렌, 합성수지 "," synthetic resin, polystyren "
"214006","ABS수지 합성수지","synthetic resin acrylonitrile-butadiene-styrenecopolymers"," 합성수지, ABS수지, abs수지, 아크릴로니트릴부타디엔스티렌공중합체 "," synthetic resin acrylonitrile butadiene styrene copolymers, absresin "
"214007","염화비닐수지 합성수지","synthetic resin polyvinylchloride"," 염화비닐수지, 합성수지, 염화비닐초산비닐공중합체 "," polyvinyl chloride resin "
"214008","폴리메탄아크릴산메틸 합성수지","synthetic resin polymethylmethacrylate"," 메타크리레이트, 메틸메타크리레이트, 폴리아크릴아미드 "," methylmethacrylate, polyacrylamide "
"214009","폴리페닐렌옥사이드 합성수지","synthetic resin polyphenyleneoxide"," 폴리페닐렌옥사이드 "," polyphenyleneoxide "
"219000","기타석유화학제품","other petrochemicals"," 과산화알코올, 기타석유화학제품, 나프탈렌, 나프톨, 나프톨술폰산, 노르말파라핀, 니트로화유도체, 데카브로모디페닐옥사이드, 디노셉, 디메틸포스파이트, 디메틸라우릴아민, 디메틸아민, 디아미노톨루엔, 디에틸렌트리아민, 디에틸에테르, 디엘드린, 디쿠밀퍼록사이드, 디클로로벤지딘술폰산염, 디페닐에테르, 디페닐메탄디이소시아네이트, 메타아크릴산, 메타알데히드, 메탄알, 메탄올, 메틸아민, 메틸에틸케톤퍼록사이드, 메틸터샤리부틸에테르, 무수말레산, 무수프탈산, 바닐린, 벤즈알데히드, 벤지딘, 벤지딘디히드로클로라이드, 부탄알, 부탄온, 비스에틸아민, 비스에테스, 솔벤트나프타, 시네올, 시클라멘알데히드, 시클로헥사논, 시트로넬알데히드, 시틀알, 신남알데히드, 아네톨, 아니솔, 아닐린, 아디프산디옥틸, 아세탈, 아세톤, 아크릴산, 아크릴산메틸, 아크릴산부틸, 아크릴산에틸, 알파아밀신남알데히드, 앰브렛머스크, 에탄알, 에테르알코올페놀, 에틸렌디아민, 에틸리덴노르보넨, 에틸바닐린, 엔드린, 오르토톨리딘, 오르토페닐렌디아민, 오이게놀, 이소노닐알코올, 이소오이게놀, 이소프탈산, 초산, 초산에틸, 초산이소부틸, 큐멘, 크실레놀, 클로로메틸, 클로로포름, 클로로메틴, 테트라브로모비스페놀에이, 톨루이딘, 트리메틸아민, 트리메틸포스파이트, 트리브로모페놀, 트리에틸포스파이트, 트리옥산, 파라페닐렌디아민, 파라포름알데히드, 페놀술폰산, 페닐아세트알데히드, 펜타클로로페놀, 헤미아세탈, 헥사메틸렌디아민, 헥사메틸렌디아민아디페이트, 황산디메틸, 황산디에틸, 히드로퀴논 "," propylene, hydroquinone, ethylenediamine, sulfonic, cyclenic, sulphonic, isocyanate, dioctyl, formaldehyde, butanal, naphthalene, isononyl, diaminotoluenes, lefetamine, diethylamine, chloromethyl, benzfetamine, monoalkylethers, isoeugenol, cyclamen, monomethyl, ambrettemusk, butanone, etilamfetamine, dimethylamine, hexamethylenediamine, endosulfan, decabromodiphenyl, dicumyl, polyoxypropylene, trimethylamine, diphenylether, methylcyclohexanones, hemiacetal, amfetamine, petroleum, adipic, pentachlorophenol, diethylene, toluene, quinol, levamfetamine, dihydrochloride, anisole, diisocyanate, dieldrin, cumene, semiconductor, creosote, cinnamaldehyde, tribromophenol, metaldehyde, anhydride, cineole, cyclohexylamine, dexamfetamine, laurylamine, cycloterpenic, naphthol, isobutyl, paraldehyde, dihalides, ethylidene, eugenol, butyraldehyde, thiophosphate, citronellaldehyde, anethole, ethylamine, ethylene, benzaldehyde, ethylvanillin, epichlorohydrin, dimethylaminoethyl, alkylnaphthalenes, diphenylolpropane, aniline, aldehyde, phenylacetaldehyde, bisphenol, trioxan, methane, polyamines, glutamate, isomer, phosphoramidic, isophthalic, toluidines, paraformaldehyde, tetramine, octanol, alkylbenzene, maleic, diphenylamine, trichloromethane, acetaldehyde, anthracene, methylamine, vanillin, xylenols, adipate, cyclanic, dinoseb, benzidine, methanol, fencamfamin, isopropyl, cyclohexanone, norbornene, parathion, acetal, naphtha, endrin, trichlormethine, diethylenetriamine, hydroxybenzene, butyl, mefenorex, butanol "
"015790","주류 기타주류","liquor other alcoholic"," 고량주, 꼬냑, 꼬냑사과주, 데낄라, 막걸리, 발효주정, 배술, 보드카, 사과주, 오가피주, 청주, 탁주, 복분자주, 사케, 매화수 "," kaoliang liquor, tequila, bokbunja, alcoholicbeverage, alcoholic "
"015810","당류 원당","sugar cane sugar/beet"," 사탕무당, 사탕수수당, 당류 "," sugarcane "
"015820","정당 당류","sugar sugar/colouring flavouring"," 당류, 설탕, 흑설탕, 백설탕, 황설탕 "," sugar "
"015830","당밀 당류","sugar molasses"," 주정제조용당밀, 당밀 "," sugar molasses, syrup "
"015890","기타당류 당류","sugar other"," 기타당류, 단풍당, 단풍당시럽, 당류, 맥아당, 캐러멜당, 포도당시럽, 락토올리고당, 물엿, 올리고당, 메이플시럽 "," maple syrup, glucosesyrup, caramelsyrup, cornsyrup, starchsyrup "
"015910","물 음료","beverage water"," 광천수, 물, 탄산수, 퓨워터, 생수, 음용수 "," mineral water, mineralwater, sparklingwater "
"015920","음료 음료베이스","beverage base"," 음료, 음료베이스, 음료수, 콜라, 사이다 "," cola, beverage, cidar, sprite, soda, sodawater "
"015930","인삼음료 음료","beverage of ginseng"," 인삼음료, 고려인삼드링크, 동원홍력천골드, 원기삼, 한방차, 홍삼차, 인삼차, 홍삼음료 "," ginsengbeverage, ginseng "
"015940","음료 과일주스","beverage juice fruit"," 과실주스, 과일쥬스, 딸기주스, 라임주스, 레몬주스, 오렌지주스, 딸기쥬스, 라임쥬스, 레몬쥬스, 오렌지쥬스, 복분자주스, 복분자쥬스, 복숭아주스, 복숭아쥬스, 매실음료, 매실쥬스, 포도쥬스, 포도주스, 매실주스, 오렌지음료, 과일음료, 복분자음료, 복분자쥬스, 복분자주스, 토마토주스, 토마토쥬스, 토마토음료, 알로에주스, 알로에쥬스, 알로에음료, 알로에베라주스, 알로에베라쥬스, 알로에베라음료 "," fruitjuice, lemonjuice, limejuice, cranberryjuice, peachjuice, strawberryjuice, orangejuice, applejuice, grapejuice, plumjuice, tomatojuice, aloeverajuice, aloejuice "
"015990","기타음료 음료","beverage other beverages"," 식혜, 배즙, 수정과, 과채음료 "," sikhye, sweetrice, sujeonggwa, persimmonpunch, beverage "
"016110","사탕과자류 검","sugar confectionery gum"," 껌, 캔디류, 츄잉껌, 젤리, 캐러멜, 카라멜, 설탕과자, 추잉껌, 버블껌, 풍선껌 "," chewinggum, gum, caramels "
"016900","기타농산가공품","products other agricultural processed"," 기타농산가공품, 닥터삼한끼, 두부, 건딸기, 떡볶이떡, 양조식초, 오트밀, 옥수수팝콘, 유자당절임, 장과, 코코넛빈, 둥굴레차, 로즈힙차, 백련차, 보리차, 생크림, 식초, 쌍화차, 유자차, 유자청, 꽃차, 쫀득이, 장아찌, 짱아찌, 도토리가루, 벌꿀, 건과일, 건조과일, 건포도, 건블루베리, 건사과, 건크랜베리, 건체리, 푸룬, 건조채소, 건조과일칩, 바나나칩, 동결건조과일, 건과일, 과일통조림, 국화차, 허브차, 허브티, 캐모마일차, 티백티, 생강차, 꽃차, 건강차, 대추차, 콤부차, 레몬차, 호박차, 인삼차, 홍삼차, 보이차 "," royaljelly, redginsengtea, sugarsyrup, acornflour, beancurd, colabase, frozenfruits, driedfruits, frozenfruit, driedfruit, cannedfruit, cannedfruits "
"016120","사탕 사탕과자류","sugar confectionery candy"," 드롭스, 사탕, 막대사탕, 사탕과자류, 설탕과자류, 캔디류, 젤리, 솜사탕, 양갱, 쫀드기, 푸딩, 츄팝츕스 "," candy, caramel, caramelcandy, lollipop, cottoncandy "
"016130","사탕과자류 비스킷","sugar confectionery biscuit"," 건빵, 건빵쌀과자, 쌀과자, 베베그레인, 비스킷, 과자류, 쿠키, 크래커, 스낵, 스넥, 과자, 유과, 칩스 "," biscuit, cooky, cracker, snack, cookie "
"016200","곡류가공품","cereal processed"," 곡물가루, 곡류가공품, 곡류빵, 곡물가공품, 미숫가루, 누룽지, 콘플레이크, 콘푸로스트, 플레이크, 오트밀, 불거밀, 콘칩, 강냉이, 떡뻥, 뻥튀기 "," cereal, cereals, oatmeal, cornflake, cronchip, puffedrice "
"016300","빵","bread"," 귀리빵, 베이커리류, 빵, 식빵, 와플, 웨이퍼빵, 케이크, 페스츄리, 패스츄리, 번, 바게트, 치아바타, 바게뜨, 토스트빵 "," bread, waffle, ruskbread, cake, pastry, baguette "
"016400","면류","noodles"," 당면, 국수, 냉면, 라면, 스파게티, 메밀면, 스파게티면, 옥수수면, 인스턴트라면, 파스타, 쌀국수, 칼국수, 파스타면, 쫄면, 메밀국수, 매밀국수, 메밀소바, 비빔면, 비빔국수면, 쫄면, 우동면, 소바, 잔치국수면, 소면, 중국당면, 링귀니, 수제비 "," noodles, spaghetti, noodle, vermicelli, noodle, pasta, buckwheat noodles, ricenoodles, bibimnoodles, udon, cellophanenoodles "
"016500","빙과류","ice edible"," 빙과류, 샤베트, 샤벳, 바닐라아이스크림, 아이스크림, 빙수, 팥빙수 "," icecream, iceflakers, bingsu "
"017000","종자류","seeds"," 사탕무종자, 양배추종자, 양파종자, 토마토종자, 파종자, 고추종자, 무종자, 채소종자 "," vegetableseeds, beetseeds, onionseeds, radishseeds, chilipepperseeds, cabbageseeds, tomatoseeds "
"019110","견 천연섬유원료","natural silk materials and cocoon raw of fiber"," 비단, 실크, 백잠사, 옥사 "," silk, whitesilk, doupionsilk "
"019120","모 천연섬유원료","natural materials animal of fiber hair"," 양모, 산양모, 양털, 염소털, 캐시미어, 염소털, 충전재용깃털, 돼지털, 멧돼지털 "," goathair, horsehair, wool, kashmir "
"019130","면 천연섬유원료","natural cotton materials of fiber"," 실면, 가닛스톡 "," seedcotton, garnettedstock "
"019140","마 천연섬유원료","natural hemp materials of fiber"," 천연섬유원료, 마, 아바카, 황마, 사이잘, 아가베 "," jute, abaca, sisal, agave "
"019190","기타천연섬유원료 천연섬유원료","other natural materials of fiber"," 기타천연섬유원료, 대마, 생대마, 아마 "," truehemp, rawhemp "
"019900","기타농산물","products other products/other farm agricultural"," 기타농산물, 누에번데기, 잠종, 누에고치번데기, 번데기, 풀솜, 견노일 "," cocoonwaste, silkwormeggs "
"021110","소 가축류","stock bovine live"," 가축용 소, 암소, 육우, 젖소 "," milkcow, cow, beefcattle, livestock "
"021120","돼지 가축류","stock swine live"," 가축용 돼지, 돼지, 번식용돼지 "," liveswine, livestock "
"021130","말 가축류","stock horse live"," 가축용 말, 경주마, 경주말, 사육용말, 당나귀 "," racinghorse, livestock, asses "
"021190","가축류 기타가축","stock other stocks live"," 강아지, 개, 똥개, 메, 사슴, 산양, 젖산양 "," livestock, milkgoats, deer, dog "
"021210","닭 가금류","poultry chicken/fowl"," 가금류, 닭, 번식용닭, 병아리, 암탉 "," poultry chicken "
"021220","오리 가금류","poultry duck"," 가금류, 번식용오리, 오리 "," poultry duck "
"021230","칠면조 가금류","turkey poultry"," 가금류, 칠면조 "," turkey poultry "
"021290","기타가금 가금류","other poultry"," 기타가금류, 거위, 기니아새, 메, 물새, 산기니아새 "," poultry, goose "
"021900","기타산동물","other animal live"," 거북, 곰, 구렁이, 기타산동물, 꿀벌, 뱀, 벌, 산곰, 자라, 맹금류, 앵무류, 타조, 에뮤, 영장류, 낙타, 물개, 바다사자, 바다코끼리, 돌고래, 양서류, 바다소 "," manatee, whale, walrus, pinnipedia, suborder, dolphin, sirenia, seal, lion, mammal, dugong, porpoise, dolphin, porpoise, camelidae, camelids, camel, bear, turtle, snake, reptile, tortoise, prey, psittaciformes, cockatoo, parrot, parakeet, macaw, dromaius, novaehollandiae, emu, honeybee, bee, amphibia "
"022110","쇠고기 가축육류","meat stock beef of live"," 소의간, 소갈비, 소꼬리, 소뼈, 소뼈다귀, 소고기, 쇠고기 "," beef, meat, beefjerky "
"022120","가축육류 돼지고기","meat stock pork of live"," 돼지머리, 돼지간, 돼지갈비, 돼지고기, 삼겹살, 돼지족발, 족발, 돼지껍질, 돼지뼈, 돼지목살, 항정살 "," pork meat "
"022130","가축육류 양고기","meat stock mutton of live"," 양고기, 양갈비, 양꼬치 "," lamb, meat "
"022190","가축육류 기타가축육류","other meat stock of live"," 사슴고기, 토끼고기, 개고기, 염소고기, 기타가축육류, 말고기 "," horsemeat, rabbitmeat, camelidsmeat, deermeat "
"022210","가금육류 닭고기","fowls poultry meat"," 가금육류, 닭가슴, 닭날개, 닭다리, 닭발, 닭고기, 삼계탕, 닭가슴살, 닭목, 닭뼈 "," chicken meat, chickenbone "
"022220","가금육류 오리고기","poultry duck meat"," 가금육류, 오리고기, 오리목살, 훈제용오리, 오리뼈 "," duck meat "
"022230","가금육류 칠면조고기","turkey poultry meat"," 가금육류, 칠면조고기 "," turkey meat "
"022290","가금육류 기타가금육류","other poultry meat"," 가금육류, 기타가금육류 "," other poultry meat "
"022900","기타육류","other meats"," 기타육류, 육류, 파충류고기, 고래고기, 낙타고기, 사슴고기, 토끼고기 "," other meat, snakemeat, beefintestines "
"023110","우지 동물성유지","fats tallow beef animal"," 동물성우지, 우지 "," cowfat "
"023120","돈지 동물성유지","fats fat,lard pig animal"," 돈지, 동물성우지 "," lard "
"023390","기타동물성한약재 동물성한약재","other of material animal madicine chinese"," 기타동물성한약재, 동물성한약재, 사향, 오령지, 용연향, 우황, 해리향 "," ambergris, castoreum, castoreum, musk, oxbezoar, pteropi faeces "
"023900","기타축산물부산물","other of offal stock live"," 기타축산물부산물, 담즙, 돼지부산물, 생피, 선지, 대창, 곱창, 막창, 수정란 "," animalblood, bovine, swine, horsehair "
"024110","소시지 육류가공품","sausage processed meat"," 소세지, 소시지, 육류가공품 "," sausage "
"024190","기타육류가공품 육류가공품","other processed meat"," 육류가공품, 기타육류가공품, 육즙, 육류추출물 "," other processed meat, meatjuice, meatsoup "
"024210","꿀 꿀및로얄제리","jelly or honey royal"," 꿀, 꿀및로얄제리, 천연꿀, 벌꿀 "," honey "
"024220","로얄제리 꿀및로얄제리","jelly or honey royal"," 꿀및로얄제리, 로얄제리, 로열젤리 "," royaljelly "
"024310","우유 낙농품","milk dairy"," 기타우유, 낙농품, 무지방우유, 저지방우유, 우유, 락토프리우유 "," milk dairy "
"024320","분유 낙농품","milk dairy dry"," 낙농품, 분유, 분유조제, 전지분유, 조제분유, 탈지분유 "," dry milk, drymilk "
"024330","낙농품 버터","dairy butter"," 기타낙농품, 낙농품, 버터 "," dairy butter "
"024340","낙농품 치이즈","dairy cheese"," 낙농품, 치이즈, 치즈, 블루치즈, 고다치즈, 고르곤졸라, 까망베르, 라클렛, 모짜렐라 "," dairy cheese, mozzarella, emmentalcheese "
"024350","낙농품 발효유","milk dairy fermantation"," 낙농품, 발효유, 유제품, 요구르트, 야구르트, 요거트 "," dairy, yogurt, yoplait "
"024390","낙농품 기타낙농품","other dairy"," 가당연유, 기타낙농품, 리더밀키, 리더크리머, 무가당연유, 연유, 버터밀크, 아이스크림 "," other dairy, wholemilk, condensedmilk "
"024400","난류","eggs"," 난류, 계란, 달걀, 달걀노른자, 달걀흰자, 계란노른자, 계란흰자 "," eggs "
"024500","단백질류","protein"," 단백질류, 핵산단백질, 밀크알부민, 카세인유도체, 젤라틴, 펩톤, 하이드파우더, 유리단백질, 케라틴 "," protein casein, gelatin, peptone, keratin, proteinpowder "
"046300","건조수산물","dried products fishery"," 건조수산물, 건조개량조개, 건조개아지살, 건조개, 건조갯장어, 건조생선, 건조어란, 건조굴비, 건조대구, 건조멸치, 마른멸치, 건조명태, 건조바지락, 건조복어, 북어, 먹태, 건조실치, 건조어류, 건조연어, 건조오징어, 건조전복, 건조조기, 건조홍합, 건조훈연다랑어, 황태, 코다리, 건멸치, 건조개, 건미역, 건다시마, 말린생선, 건조조기, 건어물 "," dried fish, driedliver, dried catfish, driedsalmon "
"129000","기타비금속광물","other base nonmetalores"," 규사, 규석, 규조토, 규회석, 금강석, 고령토, 비금속광물, 비금속광물제품, 기타비금속광물, 남정석, 납석, 내화, 대리석, 대리석도석, 멀라이트, 명반석, 백류석, 생석회, 샤모트, 사문석, 석고, 석류석, 석재, 석회석, 설화석고, 섬장암, 소석회, 쇄석, 암석, 운모, 장석, 질석, 하석, 현무암, 화강암, 홍주석, 형석, 활성탄, 활성토, 흙, 구들장, 흑연, 암염, 활석 "," mica, basalt, alunite, potterystone, garnet, andalusite, cryolite, crocidolite, quartzite, chamotte, baryte, syenite, magnesite, gypsum, amosite, chrysotile, anhydrite, wollastonite, epsomite, marble, pumice, nepheline, witherite, feldspar, kyanite, strontianite, pyrophyllite, kieselguhr, vermiculite, granite, sillimanite, diatomite, leucite, zeolite, kieserite, quicklime "
"320400","타이어튜브","tube tire"," 고무타이어, 농경용타이어, 모터스쿠터용타이어, 모터싸이클용타이어, 버스타이어, 산업용타이어, 자전거용타이어, 차타이어, 타이어튜브, 타이어튜브고무타이어, 항공기용타이어, 화물차용타이어, 스쿠터타이어, 자전거타이어, 자동차타이어, 싸이클타이어, 사이클타이어, 비행기타이어, 항공기타이어 "," tiretube, car tire, bustire, motortire, bicycletire, aircrafttire, scootertire, motorcycletire, vehicletire "
"047000","수산부산물","products offal of fishery"," 어류의간, 어류추출물, 어류즙, 고래경납, 고래왁스, 고래밀, 고래기름, 수산부산물, 어류웨이스트, 상어간유, 어류기름 "," whalewax, whaleoil, spermaceti "
"049000","기타수산물","products other fishery"," 갯지렁이, 기타수산물, 냉동수산물, 신선수산물, 수산물, 염장수산물, 실지렁이, 염수장수산물, 우렁쉥이 "," products other fishery "
"111100","금","gold"," 금가루, 금, 황금, 골드, 귀금속, 골드바, au "," goldpowder, gold, goldbar "
"111200","은","silver"," 백금, 은, 은광 "," silver "
"111300","백금","platinum"," 기타백금, 백금 "," platinum "
"112000","철광","ironore"," 금속광물, 배소, 철광, 황화철광 "," ironore "
"113000","동광","copperore"," 금속광물, 구리광, 동광, 동광정광 "," copperore "
"114000","알루미늄광","aluminumore"," 금속광물, 알루미늄광, 알루미늄광정광 "," aluminumore "
"115000","주석광","tinore"," 금속광물, 주석광, 주석광정광 "," tinore "
"116000","아연광","zincore"," 금속광물, 아연광, 아연광정광 "," zincore "
"117000","니켈광","nickelore"," 금속광물, 니켈광, 니켈광정광 "," nickelore "
"121000","흑연","graphite"," 흑연, 천연흑연, 인상흑연, 토상흑연 "," graphite, blacklead, plumbage "
"252200","인쇄용지","printing paper"," 경량복사지, 복사용지, 복사지, 용지, 인쇄용지, 전사지, 카본지, 전산용지, 폼용지, 지로용지, 컴퓨터용지 "," printing paperg, carbonpaper, copyingpaper "
"249000","기타요업제품","ceramics other"," 굴뚝통, 굴뚝갓, 지붕타일, 기와, 건축용장식품, 내화모르타르, 내화피복재, 도자제품, 반응그릇, 철도용받침목, 스마트미터, 세라믹파이버, 슬래그울, 팽창점토, 팽창퍼라이트, 세면대, 세면기, 화장실타일, 주방타일, 위생도기 "," other ceramics, slagwool, plasterboard, cementtile, girder, crucibles, emulsified asphalt "
